--------- beginning of main
03-12 22:19:11.027 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.027 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.039 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.039 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.044 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.045 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.054 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.054 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.062 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.063 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
--------- beginning of system
03-12 22:19:11.066  1171  1171 D io_stats: !@   8,0 r 2676409 91171272 w 2413583 60711164 d 251902 66941304 f 97330 265418 iot 1016292 0 th 0 0 0 pt 0 inp 0 0 37031.751
03-12 22:19:11.073 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ........ 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.073 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.085 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=androidx.compose.ui.platform.AndroidComposeView{410504a VFED..... ......ID 0,0-1080,2640 aid=1073741825}, caller=android.view.ViewGroup.setRequestedFrameRate:9952 a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:98 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 
03-12 22:19:11.085 22899 22899 I View    : setRequestedFrameRate frameRate=NaN, this=android.view.View{2b7f0ab V.ED..... ........ 0,0-0,0}, caller=a5.x1.a:1 androidx.compose.ui.platform.AndroidComposeView.dispatchDraw:110 android.view.View.draw:26345 android.view.View.updateDisplayListIfDirty:25175 android.view.ViewGroup.recreateChildDisplayList:4794 
03-12 22:19:11.090  3003  4931 D VibratorManagerService: Vibration for uid=10457 and with attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=} ended with status CANCELLED_SUPERSEDED
03-12 22:19:11.090  2075 23514 E SecVibrator-HAL-AIDL-CORE: V_2_0: [compose]compose callback thread
03-12 22:19:11.090  3003  4931 D VibratorManagerService: converted usage = TOUCH(18)
03-12 22:19:11.090  3003  4931 D VibratorManagerService: vibrate - uid: 10457, opPkg: com.openai.chatgpt, effect: Mono{mEffect=Composed{segments=[Primitive{primitive=TICK, scale=0.2969603, delay=0, delayType=PAUSE}], repeat=-1, mMagnitudeType=TYPE_EXTRA}}, attrs: VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason: null, token: android.os.BinderProxy@8744817
03-12 22:19:11.090  3003  4931 D VibratorManagerService: Starting vibrate for vibration 2498
03-12 22:19:11.090  3003  4931 D VibratorManagerService: Check AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt returned audio=allow, op=allow
03-12 22:19:11.090  3003  4931 D VibrationThread: Vibration cancel requested with signal=EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}, immediate=false
03-12 22:19:11.090  3003  4931 D VibrationThread: Vibration cancel request ignored as the vibration 2495is already being cancelled with signal=EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}, immediate=false
03-12 22:19:11.090  3003  4931 D VibratorManagerService: Dropping pending vibration from CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null} with status: CANCELLED_SUPERSEDED
03-12 22:19:11.090  3003  4931 D VibratorManagerService: Vibration for uid=10457 and with attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=} ended with status CANCELLED_SUPERSEDED
03-12 22:19:11.090  3003  3639 D VibrationThread: Turned on vibrator 0, result = 20
03-12 22:19:11.091  3003  3639 D VibrationThread: Playing vibration id 2495 on vibrator 0 CompleteEffectVibratorStep (cleanup)
03-12 22:19:11.091  3003  3639 D VibrationThread: Running cancel vibration step on vibrator 0
03-12 22:19:11.091  3003  3639 D VibrationThread: Turning off vibrator 0
03-12 22:19:11.091  3003  4931 D VibratorManagerService: converted usage = TOUCH(18)
03-12 22:19:11.091  3003  4931 D VibratorManagerService: vibrate - uid: 10457, opPkg: com.openai.chatgpt, effect: Mono{mEffect=Composed{segments=[Primitive{primitive=TICK, scale=0.2795171, delay=0, delayType=PAUSE}], repeat=-1, mMagnitudeType=TYPE_EXTRA}}, attrs: VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason: null, token: android.os.BinderProxy@8744817
03-12 22:19:11.091  3003  4931 D VibratorManagerService: Starting vibrate for vibration 2499
03-12 22:19:11.091  2075  2075 E SecVibrator-HAL-AIDL-CORE: V_2_0: Vibrator off
03-12 22:19:11.091  2075  2075 E SecVibrator-HAL-AIDL-CORE: HW_API: do_off
03-12 22:19:11.091  2075  2075 E SecVibrator-HAL-AIDL-CORE: HW_API: [triggerForceFeedbackVibration]on: 0
03-12 22:19:11.091  3003  4931 D VibratorManagerService: Check AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt returned audio=allow, op=allow
03-12 22:19:11.091  3003  4931 D VibrationThread: Vibration cancel requested with signal=EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}, immediate=false
03-12 22:19:11.091  3003  4931 D VibrationThread: Vibration cancel request ignored as the vibration 2495is already being cancelled with signal=EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}, immediate=false
03-12 22:19:11.091  3003  4931 D VibratorManagerService: Dropping pending vibration from CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null} with status: CANCELLED_SUPERSEDED
03-12 22:19:11.091  3003  4931 D VibratorManagerService: Vibration for uid=10457 and with attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=} ended with status CANCELLED_SUPERSEDED
03-12 22:19:11.091  3003  3639 D VibrationThread: Vibration 2495 finished with EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}
03-12 22:19:11.091  3003  3639 D VibratorManagerService: VibrationThread released vibration 2495
03-12 22:19:11.091  3003  4931 D VibratorManagerService: converted usage = TOUCH(18)
03-12 22:19:11.091  3003  4931 D VibratorManagerService: vibrate - uid: 10457, opPkg: com.openai.chatgpt, effect: Mono{mEffect=Composed{segments=[Primitive{primitive=TICK, scale=0.35399437, delay=0, delayType=PAUSE}], repeat=-1, mMagnitudeType=TYPE_EXTRA}}, attrs: VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason: null, token: android.os.BinderProxy@8744817
03-12 22:19:11.091  3003  3639 D VibratorManagerService: Finish AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt
03-12 22:19:11.091  3003  3639 D VibratorManagerService: Vibration for uid=10457 and with attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=} ended with status CANCELLED_SUPERSEDED
03-12 22:19:11.092  3003  3639 D VibratorManagerService: Starting vibration 2499 on thread
03-12 22:19:11.092  3003  3639 D VibratorManagerService: Start AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt returned allow
03-12 22:19:11.092  3003  4931 D VibratorManagerService: Starting vibrate for vibration 2500
03-12 22:19:11.092  3003  4931 D VibratorManagerService: Check AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt returned audio=allow, op=allow
03-12 22:19:11.092  3003  4931 D VibrationThread: Vibration cancel requested with signal=EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}, immediate=false
03-12 22:19:11.092  3003  3639 D VibrationThread: Vibration 2499 finished with EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}
03-12 22:19:11.092  3003  4931 D VibratorManagerService: converted usage = TOUCH(18)
03-12 22:19:11.092  3003  4931 D VibratorManagerService: vibrate - uid: 10457, opPkg: com.openai.chatgpt, effect: Mono{mEffect=Composed{segments=[Primitive{primitive=TICK, scale=0.3639956, delay=0, delayType=PAUSE}], repeat=-1, mMagnitudeType=TYPE_EXTRA}}, attrs: VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason: null, token: android.os.BinderProxy@8744817
03-12 22:19:11.092  3003  4931 D VibratorManagerService: Starting vibrate for vibration 2501
03-12 22:19:11.092  3003  3639 D VibratorManagerService: VibrationThread released vibration 2499
03-12 22:19:11.092  3003  4931 D VibratorManagerService: Check AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt returned audio=allow, op=allow
03-12 22:19:11.092  3003  4931 D VibrationThread: Vibration cancel requested with signal=EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}, immediate=false
03-12 22:19:11.092  3003  4931 D VibrationThread: Vibration cancel request ignored as the vibration 2499is already being cancelled with signal=EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}, immediate=false
03-12 22:19:11.092  3003  4931 D VibratorManagerService: Dropping pending vibration from CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null} with status: CANCELLED_SUPERSEDED
03-12 22:19:11.092  3003  4931 D VibratorManagerService: Vibration for uid=10457 and with attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=} ended with status CANCELLED_SUPERSEDED
03-12 22:19:11.092  3003  3639 D VibratorManagerService: Finish AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt
03-12 22:19:11.093  3003  3639 D VibratorManagerService: Vibration for uid=10457 and with attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=} ended with status CANCELLED_SUPERSEDED
03-12 22:19:11.093  3003  3639 D VibratorManagerService: Starting vibration 2501 on thread
03-12 22:19:11.093  3003  3639 D VibratorManagerService: Start AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt returned allow
03-12 22:19:11.093  3003  6500 D VibratorManagerService: converted usage = TOUCH(18)
03-12 22:19:11.093  3003  6500 D VibratorManagerService: vibrate - uid: 10457, opPkg: com.openai.chatgpt, effect: Mono{mEffect=Composed{segments=[Primitive{primitive=TICK, scale=0.39005578, delay=0, delayType=PAUSE}], repeat=-1, mMagnitudeType=TYPE_EXTRA}}, attrs: VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason: null, token: android.os.BinderProxy@8744817
03-12 22:19:11.093  3003  6500 D VibratorManagerService: Starting vibrate for vibration 2502
03-12 22:19:11.093  3003  6500 D VibratorManagerService: Check AppOp mode VIBRATE for uid 10457 and package com.openai.chatgpt returned audio=allow, op=allow
03-12 22:19:11.093  3003  6500 D VibrationThread: Vibration cancel requested with signal=EndInfo{status=CANCELLED_SUPERSEDED, endedBy=CallerInfo{ uid=10457, opPkg=com.openai.chatgpt, deviceId=0, attrs=VibrationAttributes{mUsage=TOUCH, mAudioUsage= USAGE_UNKNOWN, mFlags=0, tags=}, reason=null}}, immediate=false
